id,name,lat,lon,neighbors
1,ALTA FLORESTA D'OESTE,-11.9355403047646,-61.9998238962936,"[93, 76, 89, 74, 49, 114, 118, 101, 86, 116, 10, 79, 68, 52, 110, 128, 125, 122, 42, 27, 111, 113, 21253, 50, 103, 21, 132, 107, 37, 120, 126, 19, 115, 95, 20, 77, 131, 112, 96, 8, 7, 24, 73, 45, 92, 91, 106, 20971, 109, 20847]"
7,ARIQUEMES,-9.9084628665672,-63.0332692780484,"[73, 91, 112, 95, 106, 109, 107, 37, 126, 92, 131, 96, 132, 113, 50, 45, 111, 125, 98, 128, 54, 42, 86, 68, 79, 21253, 122, 101, 49, 110, 93, 74, 10, 120, 1, 81, 76, 479, 32, 89, 118, 52, 116, 27, 114, 24, 554, 103, 20847, 408]"
8,CABIXI,-13.4997634596963,-60.5443135812009,"[20, 19, 115, 21, 20971, 77, 103, 20942, 21142, 21001, 21096, 114, 21288, 116, 118, 89, 52, 76, 27, 21196, 1, 74, 10, 93, 21336, 21066, 110, 101, 49, 21028, 20933, 68, 21234, 21078, 86, 21051, 21253, 79, 20877, 21267, 20842, 42, 21240, 128, 122, 20954, 125, 21090, 21204, 21043]"
10,CACOAL,-11.4338650286852,-61.4429442118224,"[110, 52, 116, 27, 74, 118, 101, 68, 76, 21253, 93, 42, 1, 114, 89, 86, 49, 125, 128, 50, 132, 113, 103, 111, 79, 37, 126, 107, 122, 21, 131, 95, 77, 19, 20, 115, 45, 112, 7, 120, 8, 73, 96, 106, 20847, 91, 21078, 92, 20971, 109]"
19,CEREJEIRAS,-13.1950330320399,-60.8184261646815,"[21, 20, 115, 8, 103, 77, 20971, 114, 118, 116, 89, 52, 76, 20942, 27, 1, 74, 21142, 21001, 10, 93, 21096, 21288, 49, 101, 110, 68, 86, 79, 21253, 21196, 42, 128, 122, 125, 21078, 21336, 111, 50, 113, 21066, 20933, 120, 20877, 20954, 132, 21028, 21234, 21051, 37]"
20,COLORADO DO OESTE,-13.1305638414553,-60.5550674630789,"[19, 8, 21, 77, 115, 103, 20971, 114, 20942, 116, 118, 52, 89, 21142, 27, 76, 21001, 21288, 74, 1, 10, 21096, 93, 110, 101, 49, 68, 21196, 21253, 21078, 86, 79, 21336, 42, 128, 20933, 20877, 21066, 125, 20954, 122, 21028, 21234, 50, 111, 113, 21051, 132, 21267, 20847]"
21,CORUMBIARA,-12.9975202364834,-60.9487011706614,"[19, 20, 103, 115, 8, 77, 114, 118, 116, 89, 20971, 52, 76, 27, 1, 74, 10, 93, 20942, 101, 49, 110, 21142, 68, 21001, 86, 79, 21288, 21253, 21096, 42, 128, 122, 125, 111, 50, 113, 21078, 21196, 120, 132, 21336, 37, 107, 20954, 20877, 126, 21066, 20933, 20847]"
24,COSTA MARQUES,-12.4360138777142,-64.2316539391172,"[120, 122, 79, 96, 32, 49, 111, 86, 92, 113, 128, 1, 81, 93, 107, 112, 89, 95, 125, 101, 76, 74, 50, 68, 114, 37, 42, 118, 7, 91, 126, 132, 10, 116, 110, 73, 52, 21253, 131, 21, 103, 27, 115, 109, 106, 19, 155, 134, 54, 98]"
27,ESPIGÃO D'OESTE,-11.5285546333473,-61.0201731132847,"[52, 116, 10, 110, 118, 74, 21253, 76, 114, 101, 68, 93, 89, 103, 1, 42, 86, 49, 125, 128, 21, 50, 77, 132, 113, 20, 19, 79, 111, 37, 126, 115, 107, 8, 122, 131, 20847, 95, 21078, 45, 20954, 20971, 7, 112, 120, 73, 106, 20968, 96, 21084]"
32,GUAJARÁ-MIRIM,-10.7738837406705,-65.3239518196923,"[81, 92, 96, 134, 155, 24, 112, 120, 91, 140, 7, 95, 122, 169, 54, 179, 98, 107, 159, 73, 109, 111, 79, 113, 139, 37, 374, 128, 126, 50, 125, 106, 86, 49, 178, 132, 131, 42, 147, 137, 101, 68, 93, 700, 1, 554, 45, 74, 89, 76]"
