ID,NM_DISTRITO,LONG,LAT,ID_ADJS
1,ALTA FLORESTA D'OESTE,-61.9998238962936,-11.9355403047646,[]
7,ARIQUEMES,-63.0332692780484,-9.9084628665672,[]
8,CABIXI,-60.5443135812009,-13.4997634596963,[]
10,CACOAL,-61.4429442118224,-11.4338650286852,[]
19,CEREJEIRAS,-60.8184261646815,-13.1950330320399,[]
20,COLORADO DO OESTE,-60.5550674630789,-13.1305638414553,[]
21,CORUMBIARA,-60.9487011706614,-12.9975202364834,[]
24,COSTA MARQUES,-64.2316539391172,-12.4360138777142,[]
27,ESPIGÃO D'OESTE,-61.0201731132847,-11.5285546333473,[]
32,GUAJARÁ-MIRIM,-65.3239518196923,-10.7738837406705,[]
37,JARU,-62.4762307081317,-10.4359487678844,[]
42,JI-PARANÁ,-61.9450945826841,-10.882051318349,[]
45,MACHADINHO D'OESTE,-61.9995925724466,-9.42556248,[]
49,NOVA BRASILÂNDIA D'OESTE,-62.308230163019,-11.7213254138559,[]
50,OURO PRETO DO OESTE,-62.2610551904363,-10.7235739008135,[]
52,PIMENTA BUENO,-61.183665673642,-11.67753699,[]
54,PORTO VELHO,-63.8314456543611,-8.76889179,[]
68,PRESIDENTE MÉDICI,-61.9094386835298,-11.1732050162268,[]
73,RIO CRESPO,-62.9000103659589,-9.70553670973949,[]
74,ROLIM DE MOURA,-61.7857809351854,-11.7222589133808,[]
76,SANTA LUZIA D'OESTE,-61.7733054630545,-11.908423332469,[]
77,VILHENA,-60.1385838660987,-12.7413734718029,[]
79,SÃO MIGUEL DO GUAPORÉ,-62.7200634814364,-11.6994897438059,[]
81,NOVA MAMORÉ,-65.3291490231467,-10.4117712947002,[]
86,ALVORADA D'OESTE,-62.2772748656972,-11.3441300234334,[]
89,ALTO ALEGRE DOS PARECIS,-61.853077168603,-12.1317772245709,[]
91,ALTO PARAÍSO,-63.3176294334976,-9.71666673807728,[]
92,BURITIS,-63.8296787917565,-10.2098054072356,[]
93,NOVO HORIZONTE DO OESTE,-61.9943876627606,-11.7097429200152,[]
95,CACAULÂNDIA,-62.9031899345687,-10.3388728393928,[]
96,CAMPO NOVO DE RONDÔNIA,-63.6249914265426,-10.5684164693485,[]
98,CANDEIAS DO JAMARI,-63.7000200718298,-8.78502070347748,[]
101,CASTANHEIRAS,-61.9491611964662,-11.4268422254625,[]
103,CHUPINGUAIA,-60.9018477499554,-12.5568407610938,[]
106,CUJUBIM,-62.5871745319209,-9.37819339905712,[]
107,GOVERNADOR JORGE TEIXEIRA,-62.7404576394632,-10.6120717726075,[]
109,ITAPUÃ DO OESTE,-63.1823370165183,-9.19187167532785,[]
110,MINISTRO ANDREAZZA,-61.5189219301053,-11.1962379841591,[]
111,MIRANTE DA SERRA,-62.6694270952566,-11.045609289937,[]
112,MONTE NEGRO,-63.2955591672175,-10.263097755883,[]
113,NOVA UNIÃO,-62.55508939888,-10.9155320416628,[]
114,PARECIS,-61.5979979726776,-12.1798270507077,[]
115,PIMENTEIRAS DO OESTE,-61.0443790025384,-13.4765620024615,[]
116,PRIMAVERA DE RONDÔNIA,-61.3165462429165,-11.8257069542468,[]
118,SÃO FELIPE D'OESTE,-61.5125081133327,-11.9143893546886,[]
120,SÃO FRANCISCO DO GUAPORÉ,-63.5708647107649,-12.0637984122334,[]
122,SERINGUEIRAS,-63.0387609977072,-11.767116635607,[]
125,TEIXEIRÓPOLIS,-62.2559222539546,-10.9321692860399,[]
126,THEOBROMA,-62.3451455299349,-10.2487305520261,[]
128,URUPÁ,-62.3706324537667,-11.1285452756794,[]
131,VALE DO ANARI,-62.1768234421278,-9.85139270806179,[]
132,VALE DO PARAÍSO,-62.1343903568099,-10.4310526845565,[]
134,ACRELÂNDIA,-67.0523165800206,-10.0737938924635,[]
